OBJECTID,R_NAME,R_CODE,Z_NAME,Z_CODE,W_NAME,W_CODE,RK_NAME,RK_CODE,COUNT,T_NAME,T_CODE,KK_CODE,UK_NAME,UK_CODE,UK_ID,KK_NAME,GlobalID,Shape__Area,Shape__Length
38,Tigray,1,South Tigray,104,Hintalo Wajirat,10403,Adi Gudom Town,1040302,1, ,0,0, , , , ,a9dcdd71-dcbc-452e-8d12-9e290c7524e7,18685534.0810547,22136.0121536981
39,Tigray,1,South Tigray,104,Hintalo Wajirat,10403,HiwaneTown,1040304,1, ,0,0, , , , ,bdb8768b-d698-4c36-be13-46b8bc94b58c,1179594.44824219,5266.62557424315
40,Tigray,1,South Tigray,104,Ambalage,10404,Adei Sheou,1040402,1, ,0,0, , , , ,8b92c587-f713-4c4f-8365-1911a51b8fea,1986429.17333984,6107.77976673713
41,Tigray,1,South Tigray,104,Endamehone,10405,Meswaet Town,1040502,1, ,0,0, , , , ,47dd4403-e990-453d-90aa-8930290f153d,1151326.67724609,4761.8839813686
42,Tigray,1,South Tigray,104,Rya Azebo,10406,Mehoni Town,1040603,1, ,0,0, , , , ,e6766e0e-a0fd-4dd7-8ac7-9f1b541387a7,4785351.38720703,9157.96387949353
43,Tigray,1,South Tigray,104,Rya Azebo,10406,Chercher Town,1040604,1, ,0,0, , , , ,083a8f40-6729-40ce-a2c1-69de72621427,2805652.41015625,6665.17045261139
44,Tigray,1,South Tigray,104,Alamata,10407,WAJA TEMUGA TOWN,1040701,1, ,0,0, , , , ,67dbc7ef-9427-4143-b63b-001efcc2baec,2265288.03857422,9219.8850966721
45,Tigray,1,South Tigray,104,Maychew Town,10409,Maychew Town,1040901,1, ,0,0, , , , ,be608437-b234-465d-afa2-db2c0961f5ed,9222237.28222656,12804.0256786653
46,Tigray,1,South Tigray,104,Korem Town,10410,Korem Town,1041001,1, ,0,0, , , , ,c6fa9c95-bc39-40b8-bab6-c73c5e48ba6f,8021961.69042969,11197.5692359455
47,Tigray,1,South Tigray,104,Alamata Town,10411,Alamata Town,1041101,1, ,0,0, , , , ,a3173154-ba75-4d7c-8a6c-324b13213ce5,5846246.43017578,11100.4888418472
48,Tigray,1,Western Tigray,105,Qafta Humera,10501,AdebayeTown,1050102,1, ,0,0, , , , ,ee844a74-bf7e-4cd9-98fe-69cd94281b34,4539236.14453125,8345.16789461202
49,Tigray,1,Western Tigray,105,Qafta Humera,10501,Biher Town,1050103,1, ,0,0, , , , ,c298f7d1-ef77-4f60-ab66-c23172d680bf,4827983.26611328,9207.87366979827
50,Tigray,1,Western Tigray,105,Qafta Humera,10501,May Cadera Town,1050104,1, ,0,0, , , , ,f0b73ee7-6b61-4e03-982f-0ea4f1b2460e,3909680.87695313,7330.14646048623
51,Tigray,1,Western Tigray,105,Welqayet,10502,Mezega Town,1050201,1, ,0,0, , , , ,77732ce2-4da8-4950-9b06-8246a2b22b13,2709115.50585938,6374.00489510721
52,Tigray,1,Western Tigray,105,Welqayet,10502,Adi Remets Town,1050203,1, ,0,0, , , , ,0a32674f-aef1-4b22-b090-e5149715451c,3923110.08398438,8975.0810246256
53,Tigray,1,Western Tigray,105,Tsegede,10503,Ketema Nigus Town,1050302,1, ,0,0, , , , ,42b446c2-185e-4ae0-9770-b45d6a29717d,2188271.77148438,6161.07241741438
54,Tigray,1,Western Tigray,105,Tsegede,10503,Danisha Town,1050303,1, ,0,0, , , , ,b43885a6-64ab-4b81-a69c-fcc2a2e37765,4727120.54882813,9544.35597824177
55,Tigray,1,Western Tigray,105,Humera Town,10504,Humera Town,1050401,1, ,0,0, , , , ,ea156828-56be-44a5-9966-5599445bcac7,15931211.4663086,15829.3095478824
56,Tigray,1,Mekele Especial Zone,106,Debub & Semen Mekele,10601,Mekele Town,1060201,1, ,0,0, , , , ,97de7a50-b2f1-43fc-b6c1-a02008e4bcff,98318491.8867188,66556.5710648771
57,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Badme,10101001,5, ,0,0, , , , ,14dcc0e7-31cb-4bd8-bbf2-3d300d106a04,792043295.115234,137861.049830629
58,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Adiawuala,10101002,8, ,0,0, , , , ,57c5027d-b8e8-4f48-b1c4-69444842eb4a,399043245.930664,136122.531942803
59,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Geladiyus,10101003,3, ,0,0, , , , ,96930444-4825-4056-86be-2f654ebceb12,236025329.26123,70517.5164710978
60,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Aditelaom,10101004,5, ,0,0, , , , ,8379f49e-2796-47b7-8107-4964414bb164,143483601.598633,73789.3151403843
61,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Daguala,10101005,8, ,0,0, , , , ,c60e9ae2-8c45-4fd8-a851-7014120baa86,135828679.182129,65017.6784165209
